locus_tag	ftype	length_bp	gene	EC_number	COG	product
PCOCLAEF_00022	CDS	396	cdd	3.5.4.5	COG0295	Cytidine deaminase
PCOCLAEF_00023	gene	906	era			
PCOCLAEF_00023	CDS	906	era		COG1159	GTPase Era
PCOCLAEF_00024	gene	630				
PCOCLAEF_00024	CDS	630				hypothetical protein
PCOCLAEF_00025	gene	768	recO			
PCOCLAEF_00025	CDS	768	recO		COG1381	DNA repair protein RecO
PCOCLAEF_00026	gene	891	glyQ			
PCOCLAEF_00026	CDS	891	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
PCOCLAEF_00027	gene	2067	glyS			
PCOCLAEF_00027	CDS	2067	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
PCOCLAEF_00028	gene	825	yqfL_1			
PCOCLAEF_00028	CDS	825	yqfL_1	2.7.11.32	COG1806	Putative pyruvate, phosphate dikinase regulatory protein
PCOCLAEF_00029	gene	441				
PCOCLAEF_00029	CDS	441				hypothetical protein
PCOCLAEF_00030	gene	1881	dnaG			
PCOCLAEF_00030	CDS	1881	dnaG	2.7.7.-		DNA primase
PCOCLAEF_00031	gene	1125	sigA			
PCOCLAEF_00031	CDS	1125	sigA		COG0568	RNA polymerase sigma factor SigA
PCOCLAEF_00032	gene	705	trmK			
PCOCLAEF_00032	CDS	705	trmK	2.1.1.217	COG2384	tRNA (adenine(22)-N(1))-methyltransferase
PCOCLAEF_00033	gene	1122				
PCOCLAEF_00033	CDS	1122			COG0327	GTP cyclohydrolase 1 type 2 
PCOCLAEF_00034	gene	996	ispH			
PCOCLAEF_00034	CDS	996	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
PCOCLAEF_00035	gene	1308	cshB			
PCOCLAEF_00035	CDS	1308	cshB	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshB
PCOCLAEF_00036	gene	894	nfo			
PCOCLAEF_00036	CDS	894	nfo	3.1.21.2	COG0648	putative endonuclease 4
PCOCLAEF_00037	gene	927	ppaC			
PCOCLAEF_00037	CDS	927	ppaC	3.6.1.1	COG1227	Manganese-dependent inorganic pyrophosphatase
PCOCLAEF_00038	gene	774	znuC_1			
PCOCLAEF_00038	CDS	774	znuC_1	7.2.2.-	COG1121	High-affinity zinc uptake system ATP-binding protein ZnuC
PCOCLAEF_00039	gene	879	znuB_1			
PCOCLAEF_00039	CDS	879	znuB_1		COG1108	High-affinity zinc uptake system membrane protein ZnuB
PCOCLAEF_00040	gene	426	zur			
PCOCLAEF_00040	CDS	426	zur		COG0735	Zinc-specific metallo-regulatory protein
PCOCLAEF_00041	gene	885	prsA1_1			
PCOCLAEF_00041	CDS	885	prsA1_1	5.2.1.8	COG0760	Foldase protein PrsA 1
PCOCLAEF_00042	gene	327				
PCOCLAEF_00042	CDS	327				hypothetical protein
PCOCLAEF_00043	gene	708	ygaZ			
PCOCLAEF_00043	CDS	708	ygaZ		COG1296	Inner membrane protein YgaZ
PCOCLAEF_00044	gene	1107	ispG			
PCOCLAEF_00044	CDS	1107	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
PCOCLAEF_00045	gene	714				
PCOCLAEF_00045	CDS	714				hypothetical protein
PCOCLAEF_00046	gene	609	sodA			
PCOCLAEF_00046	CDS	609	sodA	1.15.1.1		Superoxide dismutase [Mn]
PCOCLAEF_00047	gene	2166	pbpH			
PCOCLAEF_00047	CDS	2166	pbpH		COG0768	Penicillin-binding protein H
PCOCLAEF_00048	gene	1044	asd			
PCOCLAEF_00048	CDS	1044	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
PCOCLAEF_00049	gene	1212	lysC_1			
PCOCLAEF_00049	CDS	1212	lysC_1	2.7.2.4	COG0527	Aspartokinase
PCOCLAEF_00050	gene	882	dapA			
PCOCLAEF_00050	CDS	882	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
PCOCLAEF_00051	gene	1668	rnj2			
PCOCLAEF_00051	CDS	1668	rnj2	3.1.-.-		Ribonuclease J 2
PCOCLAEF_00052	gene	1341	garB			
PCOCLAEF_00052	CDS	1341	garB	1.8.1.16		Glutathione amide reductase
PCOCLAEF_00053	gene	651				
PCOCLAEF_00053	CDS	651				hypothetical protein
PCOCLAEF_00054	gene	1602	ybiT			
PCOCLAEF_00054	CDS	1602	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
PCOCLAEF_00055	gene	384	yjbR			
PCOCLAEF_00055	CDS	384	yjbR		COG2315	putative protein YjbR
PCOCLAEF_00056	gene	561	thiT			
PCOCLAEF_00056	CDS	561	thiT			Thiamine transporter ThiT
PCOCLAEF_00057	gene	1194	opuCA			
PCOCLAEF_00057	CDS	1194	opuCA	7.6.2.9	COG1125	Carnitine transport ATP-binding protein OpuCA
PCOCLAEF_00058	gene	657	opuCB			
PCOCLAEF_00058	CDS	657	opuCB		COG1174	Carnitine transport permease protein OpuCB
PCOCLAEF_00059	gene	927	opuCC			
PCOCLAEF_00059	CDS	927	opuCC		COG1732	Carnitine transport binding protein OpuCC
PCOCLAEF_00060	gene	672	opuCD			
PCOCLAEF_00060	CDS	672	opuCD		COG1174	Carnitine transport permease protein OpuCD
PCOCLAEF_00061	gene	1347	mntH			
PCOCLAEF_00061	CDS	1347	mntH			Divalent metal cation transporter MntH
PCOCLAEF_00062	gene	831				
PCOCLAEF_00062	CDS	831				hypothetical protein
PCOCLAEF_00063	gene	1515				
PCOCLAEF_00063	CDS	1515				hypothetical protein
PCOCLAEF_00064	gene	987	btuD_1			
PCOCLAEF_00064	CDS	987	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
PCOCLAEF_00065	gene	897	murB			
PCOCLAEF_00065	CDS	897	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
PCOCLAEF_00066	gene	1038				
PCOCLAEF_00066	CDS	1038				hypothetical protein
PCOCLAEF_00067	gene	1269				
PCOCLAEF_00067	CDS	1269				hypothetical protein
PCOCLAEF_00068	gene	1245				
PCOCLAEF_00068	CDS	1245				hypothetical protein
PCOCLAEF_00069	gene	600				
PCOCLAEF_00069	CDS	600				hypothetical protein
PCOCLAEF_00070	gene	1167	mvaS			
PCOCLAEF_00070	CDS	1167	mvaS	2.3.3.10	COG3425	Hydroxymethylglutaryl-CoA synthase
PCOCLAEF_00071	gene	1170	thlA			
PCOCLAEF_00071	CDS	1170	thlA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
PCOCLAEF_00072	gene	1323				
PCOCLAEF_00072	CDS	1323				hypothetical protein
PCOCLAEF_00073	gene	534				
PCOCLAEF_00073	CDS	534				hypothetical protein
PCOCLAEF_00074	gene	228				
PCOCLAEF_00074	CDS	228				hypothetical protein
PCOCLAEF_00075	gene	549				
PCOCLAEF_00075	CDS	549				hypothetical protein
PCOCLAEF_00076	gene	1194	yfmO			
PCOCLAEF_00076	CDS	1194	yfmO			Multidrug efflux protein YfmO
PCOCLAEF_00077	gene	531				
PCOCLAEF_00077	CDS	531				hypothetical protein
PCOCLAEF_00078	gene	747	pflA			
PCOCLAEF_00078	CDS	747	pflA	1.97.1.4		Pyruvate formate-lyase-activating enzyme
PCOCLAEF_00079	gene	2232	pflB_1			
PCOCLAEF_00079	CDS	2232	pflB_1	2.3.1.54		Formate acetyltransferase
PCOCLAEF_00080	gene	549	glpP			
PCOCLAEF_00080	CDS	549	glpP		COG1954	Glycerol uptake operon antiterminator regulatory protein
PCOCLAEF_00081	gene	1812	mutL			
PCOCLAEF_00081	CDS	1812	mutL		COG0323	DNA mismatch repair protein MutL
PCOCLAEF_00082	gene	2583	mutS			
PCOCLAEF_00082	CDS	2583	mutS		COG0249	DNA mismatch repair protein MutS
PCOCLAEF_00083	gene	363	ymcA			
PCOCLAEF_00083	CDS	363	ymcA		COG4550	putative protein YmcA
PCOCLAEF_00084	gene	804	ymdB_1			
PCOCLAEF_00084	CDS	804	ymdB_1	3.1.4.16	COG1692	2',3'-cyclic-nucleotide 2'-phosphodiesterase
PCOCLAEF_00085	gene	498				
PCOCLAEF_00085	CDS	498				hypothetical protein
PCOCLAEF_00086	gene	1563	rny			
PCOCLAEF_00086	CDS	1563	rny	3.1.-.-	COG1418	Ribonuclease Y
PCOCLAEF_00087	gene	1047	recA			
PCOCLAEF_00087	CDS	1047	recA		COG0468	Protein RecA
PCOCLAEF_00088	gene	1245	cinA			
PCOCLAEF_00088	CDS	1245	cinA		COG1058	Putative competence-damage inducible protein
PCOCLAEF_00089	gene	579	pgsA			
PCOCLAEF_00089	CDS	579	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
PCOCLAEF_00090	gene	930				
PCOCLAEF_00090	CDS	930				hypothetical protein
PCOCLAEF_00091	gene	732	fabG_1			
PCOCLAEF_00091	CDS	732	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
PCOCLAEF_00092	gene	1287				
PCOCLAEF_00092	CDS	1287				hypothetical protein
PCOCLAEF_00093	gene	1293				
PCOCLAEF_00093	CDS	1293				hypothetical protein
PCOCLAEF_00094	gene	951				
PCOCLAEF_00094	CDS	951				hypothetical protein
PCOCLAEF_00095	gene	1053				
PCOCLAEF_00095	CDS	1053				hypothetical protein
PCOCLAEF_00096	gene	1542	mglA			
PCOCLAEF_00096	CDS	1542	mglA	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
PCOCLAEF_00097	gene	1074	tmpC			
PCOCLAEF_00097	CDS	1074	tmpC		COG1744	Membrane lipoprotein TmpC
PCOCLAEF_00098	gene	840	proC_1			
PCOCLAEF_00098	CDS	840	proC_1	1.5.1.2		Pyrroline-5-carboxylate reductase
PCOCLAEF_00099	gene	2274	spoIIIE			
PCOCLAEF_00099	CDS	2274	spoIIIE		COG1674	DNA translocase SpoIIIE
PCOCLAEF_00100	gene	927				
PCOCLAEF_00100	CDS	927				hypothetical protein
PCOCLAEF_00101	gene	990				
PCOCLAEF_00101	CDS	990				hypothetical protein
PCOCLAEF_00102	gene	1077	fni			
PCOCLAEF_00102	CDS	1077	fni	5.3.3.2		Isopentenyl-diphosphate delta-isomerase
PCOCLAEF_00103	gene	348				
PCOCLAEF_00103	CDS	348				hypothetical protein
PCOCLAEF_00104	gene	282	yccX			
PCOCLAEF_00104	CDS	282	yccX	3.6.1.7	COG1254	Acylphosphatase
PCOCLAEF_00105	gene	282				
PCOCLAEF_00105	CDS	282				hypothetical protein
PCOCLAEF_00106	gene	828	misCB			
PCOCLAEF_00106	CDS	828	misCB		COG0706	Membrane protein insertase MisCB
PCOCLAEF_00107	gene	1452	arlS			
PCOCLAEF_00107	CDS	1452	arlS	2.7.13.3		Signal transduction histidine-protein kinase ArlS
PCOCLAEF_00108	gene	681	arlR			
PCOCLAEF_00108	CDS	681	arlR		COG0745	Response regulator ArlR
PCOCLAEF_00109	gene	1419	gnd			
PCOCLAEF_00109	CDS	1419	gnd	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
PCOCLAEF_00110	gene	1104	pepT_1			
PCOCLAEF_00110	CDS	1104	pepT_1	3.4.11.4	COG2195	Peptidase T
PCOCLAEF_00111	gene	96				
PCOCLAEF_00111	CDS	96				hypothetical protein
PCOCLAEF_00112	gene	1251	pdhC			
PCOCLAEF_00112	CDS	1251	pdhC	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
PCOCLAEF_00113	gene	984	bfmBAB			
PCOCLAEF_00113	CDS	984	bfmBAB	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
PCOCLAEF_00114	gene	996	bfmBAA			
PCOCLAEF_00114	CDS	996	bfmBAA	1.2.4.4	COG1071	2-oxoisovalerate dehydrogenase subunit alpha
PCOCLAEF_00115	gene	1428	lpd			
PCOCLAEF_00115	CDS	1428	lpd	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
PCOCLAEF_00116	gene	1068	buk2			
PCOCLAEF_00116	CDS	1068	buk2	2.7.2.7	COG3426	Butyrate kinase 2
PCOCLAEF_00117	gene	867	pta_1			
PCOCLAEF_00117	CDS	867	pta_1	2.3.1.8	COG0280	Phosphate acetyltransferase
PCOCLAEF_00118	gene	1692	recN			
PCOCLAEF_00118	CDS	1692	recN		COG0497	DNA repair protein RecN
PCOCLAEF_00119	gene	450	argR			
PCOCLAEF_00119	CDS	450	argR		COG1438	Arginine repressor
PCOCLAEF_00120	gene	825	tlyA			
PCOCLAEF_00120	CDS	825	tlyA		COG1189	Hemolysin A
PCOCLAEF_00121	gene	1782	dxs			
PCOCLAEF_00121	CDS	1782	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
PCOCLAEF_00122	gene	201	cspLA			
PCOCLAEF_00122	CDS	201	cspLA		COG1278	Cold shock-like protein CspLA
PCOCLAEF_00123	gene	882				
PCOCLAEF_00123	CDS	882		2.5.1.10		Farnesyl diphosphate synthase
PCOCLAEF_00124	gene	228	xseB			
PCOCLAEF_00124	CDS	228	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
PCOCLAEF_00125	gene	1356	xseA			
PCOCLAEF_00125	CDS	1356	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
PCOCLAEF_00126	gene	855	folD			
PCOCLAEF_00126	CDS	855	folD			Bifunctional protein FolD protein
PCOCLAEF_00127	gene	387	nusB			
PCOCLAEF_00127	CDS	387	nusB			Transcription antitermination protein NusB
PCOCLAEF_00128	gene	408				
PCOCLAEF_00128	CDS	408				putative protein
PCOCLAEF_00129	gene	1365	accC			
PCOCLAEF_00129	CDS	1365	accC	6.3.4.14	COG0439	Biotin carboxylase
PCOCLAEF_00130	gene	480	accB			
PCOCLAEF_00130	CDS	480	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
PCOCLAEF_00131	gene	558	efp			
PCOCLAEF_00131	CDS	558	efp			Elongation factor P
PCOCLAEF_00132	gene	1062	ypdF			
PCOCLAEF_00132	CDS	1062	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
PCOCLAEF_00133	gene	966				
PCOCLAEF_00133	CDS	966				hypothetical protein
PCOCLAEF_00134	gene	273				
PCOCLAEF_00134	CDS	273				hypothetical protein
PCOCLAEF_00135	gene	381	glpE			
PCOCLAEF_00135	CDS	381	glpE	2.8.1.1		Thiosulfate sulfurtransferase GlpE
PCOCLAEF_00136	gene	1467	gcvPB			
PCOCLAEF_00136	CDS	1467	gcvPB	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 2
PCOCLAEF_00137	gene	1347	gcvPA			
PCOCLAEF_00137	CDS	1347	gcvPA	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 1
PCOCLAEF_00138	gene	1089	gcvT			
PCOCLAEF_00138	CDS	1089	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
PCOCLAEF_00139	gene	1023	comGA			
PCOCLAEF_00139	CDS	1023	comGA		COG2804	ComG operon protein 1
PCOCLAEF_00140	gene	1032	epsF			
PCOCLAEF_00140	CDS	1032	epsF		COG1459	Type II secretion system protein F
PCOCLAEF_00141	gene	324	comGC			
PCOCLAEF_00141	CDS	324	comGC		COG4537	ComG operon protein 3
PCOCLAEF_00142	gene	423				
PCOCLAEF_00142	CDS	423				hypothetical protein
PCOCLAEF_00143	gene	285				
PCOCLAEF_00143	CDS	285				hypothetical protein
PCOCLAEF_00144	gene	468				
PCOCLAEF_00144	CDS	468				hypothetical protein
PCOCLAEF_00145	gene	318				
PCOCLAEF_00145	CDS	318				hypothetical protein
PCOCLAEF_00146	gene	1092				
PCOCLAEF_00146	CDS	1092				hypothetical protein
PCOCLAEF_00147	gene	969	glcK			
PCOCLAEF_00147	CDS	969	glcK	2.7.1.2	COG1940	Glucokinase
PCOCLAEF_00148	gene	213	yqgQ			
PCOCLAEF_00148	CDS	213	yqgQ		COG4483	putative protein YqgQ
PCOCLAEF_00149	gene	1539	gluP			
PCOCLAEF_00149	CDS	1539	gluP	3.4.21.105	COG0705	Rhomboid protease GluP
PCOCLAEF_00150	gene	540	yqgN			
PCOCLAEF_00150	CDS	540	yqgN		COG0212	putative protein YqgN
PCOCLAEF_00151	gene	150	rpmG2			
PCOCLAEF_00151	CDS	150	rpmG2			50S ribosomal protein L33 2
PCOCLAEF_00152	gene	357				
PCOCLAEF_00152	CDS	357				hypothetical protein
PCOCLAEF_00153	gene	480	mltG_1			
PCOCLAEF_00153	CDS	480	mltG_1	4.2.2.-		Endolytic murein transglycosylase
PCOCLAEF_00154	gene	1041	rsgA_1			
PCOCLAEF_00154	CDS	1041	rsgA_1	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
PCOCLAEF_00155	gene	2172	pnp_1			
PCOCLAEF_00155	CDS	2172	pnp_1	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
PCOCLAEF_00156	gene	270	rpsO			
PCOCLAEF_00156	CDS	270	rpsO			30S ribosomal protein S15
PCOCLAEF_00157	gene	945	ribF_1			
PCOCLAEF_00157	CDS	945	ribF_1		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
PCOCLAEF_00158	gene	915	truB			
PCOCLAEF_00158	CDS	915	truB	5.4.99.25		tRNA pseudouridine synthase B
PCOCLAEF_00159	gene	345	rbfA			
PCOCLAEF_00159	CDS	345	rbfA			Ribosome-binding factor A
PCOCLAEF_00160	gene	279				
PCOCLAEF_00160	CDS	279				hypothetical protein
PCOCLAEF_00161	gene	2349	infB			
PCOCLAEF_00161	CDS	2349	infB			Translation initiation factor IF-2
PCOCLAEF_00162	gene	300	rplGA			
PCOCLAEF_00162	CDS	300	rplGA		COG1358	putative ribosomal protein YlxQ
PCOCLAEF_00163	gene	285				
PCOCLAEF_00163	CDS	285				hypothetical protein
PCOCLAEF_00164	gene	1119	nusA			
PCOCLAEF_00164	CDS	1119	nusA		COG0195	Transcription termination/antitermination protein NusA
PCOCLAEF_00165	gene	468	rimP			
PCOCLAEF_00165	CDS	468	rimP		COG0779	Ribosome maturation factor RimP
PCOCLAEF_00166	gene	4425	polC			
PCOCLAEF_00166	CDS	4425	polC	2.7.7.7	COG2176	DNA polymerase III PolC-type
PCOCLAEF_00167	gene	1707	proS			
PCOCLAEF_00167	CDS	1707	proS	6.1.1.15	COG0442	Proline--tRNA ligase
PCOCLAEF_00168	gene	1263	rasP			
PCOCLAEF_00168	CDS	1263	rasP	3.4.24.-	COG0750	Regulator of sigma-W protease RasP
PCOCLAEF_00169	gene	1143	dxr			
PCOCLAEF_00169	CDS	1143	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
PCOCLAEF_00170	gene	789				
PCOCLAEF_00170	CDS	789				hypothetical protein
PCOCLAEF_00171	gene	759	uppS			
PCOCLAEF_00171	CDS	759	uppS	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
PCOCLAEF_00172	gene	558	frr			
PCOCLAEF_00172	CDS	558	frr		COG0233	Ribosome-recycling factor
PCOCLAEF_00173	gene	729	pyrH			
PCOCLAEF_00173	CDS	729	pyrH	2.7.4.22	COG0528	Uridylate kinase
PCOCLAEF_00174	gene	375				
PCOCLAEF_00174	CDS	375				hypothetical protein
PCOCLAEF_00175	gene	1200				
PCOCLAEF_00175	CDS	1200				hypothetical protein
PCOCLAEF_00176	gene	1305				
PCOCLAEF_00176	CDS	1305				hypothetical protein
PCOCLAEF_00177	gene	507	ybdM			
PCOCLAEF_00177	CDS	507	ybdM		COG1475	putative protein YbdM
PCOCLAEF_00178	gene	732	COQ3_1			
PCOCLAEF_00178	CDS	732	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
PCOCLAEF_00179	gene	240				
PCOCLAEF_00179	CDS	240				hypothetical protein
PCOCLAEF_00180	gene	1995	tkt_1			
PCOCLAEF_00180	CDS	1995	tkt_1	2.2.1.1		Transketolase
PCOCLAEF_00181	gene	228				
PCOCLAEF_00181	CDS	228				hypothetical protein
PCOCLAEF_00182	gene	330	yneA_1			
PCOCLAEF_00182	CDS	330	yneA_1			Cell division suppressor protein YneA
PCOCLAEF_00183	gene	615	lexA			
PCOCLAEF_00183	CDS	615	lexA	3.4.21.88	COG1974	LexA repressor
PCOCLAEF_00184	gene	525				
PCOCLAEF_00184	CDS	525		2.3.1.-	COG1670	Acetyltransferase
PCOCLAEF_00185	gene	1296	arsB			
PCOCLAEF_00185	CDS	1296	arsB		COG1055	Arsenical pump membrane protein
PCOCLAEF_00186	gene	1335	glnA			
PCOCLAEF_00186	CDS	1335	glnA	6.3.1.2	COG0174	Glutamine synthetase
PCOCLAEF_00187	gene	369	glnR			
PCOCLAEF_00187	CDS	369	glnR		COG0789	HTH-type transcriptional regulator GlnR
PCOCLAEF_00188	gene	1227				
PCOCLAEF_00188	CDS	1227				hypothetical protein
PCOCLAEF_00189	gene	1224	hflX_1			
PCOCLAEF_00189	CDS	1224	hflX_1		COG2262	GTPase HflX
PCOCLAEF_00190	gene	234	hfq			
PCOCLAEF_00190	CDS	234	hfq		COG1923	RNA-binding protein Hfq
PCOCLAEF_00191	gene	918	miaA			
PCOCLAEF_00191	CDS	918	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
PCOCLAEF_00192	gene	1677	glpD			
PCOCLAEF_00192	CDS	1677	glpD	1.1.5.3		Aerobic glycerol-3-phosphate dehydrogenase
PCOCLAEF_00193	gene	699	glpQ			
PCOCLAEF_00193	CDS	699	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
PCOCLAEF_00194	gene	1887	oatA			
PCOCLAEF_00194	CDS	1887	oatA	2.3.1.-		O-acetyltransferase OatA
PCOCLAEF_00195	gene	1821				
PCOCLAEF_00195	CDS	1821				hypothetical protein
PCOCLAEF_00196	gene	468	luxS			
PCOCLAEF_00196	CDS	468	luxS	4.4.1.21		S-ribosylhomocysteine lyase
PCOCLAEF_00197	gene	2460	parC			
PCOCLAEF_00197	CDS	2460	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
PCOCLAEF_00198	gene	1968	parE			
PCOCLAEF_00198	CDS	1968	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
PCOCLAEF_00199	gene	408	yccU			
PCOCLAEF_00199	CDS	408	yccU		COG1832	putative protein YccU
PCOCLAEF_00200	gene	597	plsY			
PCOCLAEF_00200	CDS	597	plsY	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase
PCOCLAEF_00201	gene	873	lacX			
PCOCLAEF_00201	CDS	873	lacX			Protein LacX, plasmid
PCOCLAEF_00202	gene	312				
PCOCLAEF_00202	CDS	312				hypothetical protein
PCOCLAEF_00203	gene	420				
PCOCLAEF_00203	CDS	420		3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
PCOCLAEF_00204	gene	780	codY			
PCOCLAEF_00204	CDS	780	codY		COG4465	GTP-sensing transcriptional pleiotropic repressor CodY
PCOCLAEF_00205	gene	1410	clpY			
PCOCLAEF_00205	CDS	1410	clpY		COG1220	ATP-dependent protease ATPase subunit ClpY
PCOCLAEF_00206	gene	540	clpQ			
PCOCLAEF_00206	CDS	540	clpQ	3.4.21.-	COG5405	ATP-dependent protease subunit ClpQ
PCOCLAEF_00207	gene	903	xerC_1			
PCOCLAEF_00207	CDS	903	xerC_1		COG4974	Tyrosine recombinase XerC
PCOCLAEF_00208	gene	1305	trmFO			
PCOCLAEF_00208	CDS	1305	trmFO	2.1.1.74	COG1206	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
PCOCLAEF_00209	gene	2079	topA			
PCOCLAEF_00209	CDS	2079	topA	5.6.2.1		DNA topoisomerase 1
PCOCLAEF_00210	gene	861	dprA			
PCOCLAEF_00210	CDS	861	dprA		COG0758	DNA processing protein DprA
PCOCLAEF_00211	gene	786	rnhB			
PCOCLAEF_00211	CDS	786	rnhB	3.1.26.4	COG0164	Ribonuclease HII
PCOCLAEF_00212	gene	864	rbgA			
PCOCLAEF_00212	CDS	864	rbgA		COG1161	Ribosome biogenesis GTPase A
PCOCLAEF_00213	gene	543	sipS			
PCOCLAEF_00213	CDS	543	sipS	3.4.21.89	COG0681	Signal peptidase I S
PCOCLAEF_00214	gene	570	sipV			
PCOCLAEF_00214	CDS	570	sipV	3.4.21.89	COG0681	Signal peptidase I V
PCOCLAEF_00215	gene	567	spsB			
PCOCLAEF_00215	CDS	567	spsB	3.4.21.89		Signal peptidase IB
PCOCLAEF_00216	gene	1260	clpX			
PCOCLAEF_00216	CDS	1260	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
