locus_tag	ftype	length_bp	gene	EC_number	COG	product
FAOADFNE_00029	CDS	759	glpR		COG1349	Glycerol-3-phosphate regulon repressor
FAOADFNE_00030	gene	831	glpG			
FAOADFNE_00030	CDS	831	glpG	3.4.21.105	COG0705	Rhomboid protease GlpG
FAOADFNE_00031	gene	327	glpE			
FAOADFNE_00031	CDS	327	glpE	2.8.1.1	COG0607	Thiosulfate sulfurtransferase GlpE
FAOADFNE_00032	gene	1509	glpD			
FAOADFNE_00032	CDS	1509	glpD	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
FAOADFNE_00033	gene	546				
FAOADFNE_00033	CDS	546				hypothetical protein
FAOADFNE_00034	gene	1497				
FAOADFNE_00034	CDS	1497				hypothetical protein
FAOADFNE_00035	gene	1110	gldA_1			
FAOADFNE_00035	CDS	1110	gldA_1	1.1.1.6	COG0371	Glycerol dehydrogenase
FAOADFNE_00036	gene	1335	ttuB_1			
FAOADFNE_00036	CDS	1335	ttuB_1			Putative tartrate transporter
FAOADFNE_00037	gene	1716	ilvD_1			
FAOADFNE_00037	CDS	1716	ilvD_1	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
FAOADFNE_00038	gene	906	yjhH			
FAOADFNE_00038	CDS	906	yjhH	4.1.2.28	COG0329	putative 2-dehydro-3-deoxy-D-pentonate aldolase YjhH
FAOADFNE_00039	gene	756	rhmR_1			
FAOADFNE_00039	CDS	756	rhmR_1		COG1414	putative HTH-type transcriptional regulator RhmR
FAOADFNE_00040	gene	2448	malP_2			
FAOADFNE_00040	CDS	2448	malP_2	2.4.1.1	COG0058	Maltodextrin phosphorylase
FAOADFNE_00041	gene	1434	glgA			
FAOADFNE_00041	CDS	1434	glgA	2.4.1.21	COG0297	Glycogen synthase
FAOADFNE_00042	gene	1296	glgC			
FAOADFNE_00042	CDS	1296	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
FAOADFNE_00043	gene	1977	glgX_1			
FAOADFNE_00043	CDS	1977	glgX_1	3.2.1.196	COG1523	Glycogen debranching enzyme
FAOADFNE_00044	gene	2187	glgB			
FAOADFNE_00044	CDS	2187	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
FAOADFNE_00045	gene	1107	asd			
FAOADFNE_00045	CDS	1107	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
FAOADFNE_00046	gene	480				
FAOADFNE_00046	CDS	480				hypothetical protein
FAOADFNE_00047	gene	1341	gntU			
FAOADFNE_00047	CDS	1341	gntU		COG2610	Low-affinity gluconate transporter
FAOADFNE_00048	gene	534	gntK_1			
FAOADFNE_00048	CDS	534	gntK_1	2.7.1.12	COG3265	Thermoresistant gluconokinase
FAOADFNE_00049	gene	996	gntR_1			
FAOADFNE_00049	CDS	996	gntR_1			HTH-type transcriptional regulator GntR
FAOADFNE_00050	gene	696	yhhW			
FAOADFNE_00050	CDS	696	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
FAOADFNE_00051	gene	1038	yhhX			
FAOADFNE_00051	CDS	1038	yhhX	1.-.-.-	COG0673	putative oxidoreductase YhhX
FAOADFNE_00052	gene	489	aaaT			
FAOADFNE_00052	CDS	489	aaaT	2.3.1.-	COG0454	L-amino acid N-acetyltransferase AaaT
FAOADFNE_00053	gene	1215	RBKS_1			
FAOADFNE_00053	CDS	1215	RBKS_1	2.7.1.15		Ribokinase
FAOADFNE_00054	gene	762				
FAOADFNE_00054	CDS	762				hypothetical protein
FAOADFNE_00055	gene	972				
FAOADFNE_00055	CDS	972				hypothetical protein
FAOADFNE_00056	gene	903	php			
FAOADFNE_00056	CDS	903	php		COG1735	Phosphotriesterase homology protein
FAOADFNE_00057	gene	1743	ggt			
FAOADFNE_00057	CDS	1743	ggt	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
FAOADFNE_00058	gene	417	yhhA			
FAOADFNE_00058	CDS	417	yhhA			putative protein YhhA
FAOADFNE_00059	gene	741	ugpQ			
FAOADFNE_00059	CDS	741	ugpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
FAOADFNE_00060	gene	1071	ugpC			
FAOADFNE_00060	CDS	1071	ugpC	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
FAOADFNE_00061	gene	846	lacG			
FAOADFNE_00061	CDS	846	lacG			Lactose transport system permease protein LacG
FAOADFNE_00062	gene	888	ugpA			
FAOADFNE_00062	CDS	888	ugpA		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
FAOADFNE_00063	gene	1317	ugpB			
FAOADFNE_00063	CDS	1317	ugpB		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
FAOADFNE_00064	gene	369				
FAOADFNE_00064	CDS	369				hypothetical protein
FAOADFNE_00065	gene	222				
FAOADFNE_00065	CDS	222				hypothetical protein
FAOADFNE_00066	gene	714	livF			
FAOADFNE_00066	CDS	714	livF		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
FAOADFNE_00067	gene	768	lptB_1			
FAOADFNE_00067	CDS	768	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
FAOADFNE_00068	gene	1278				
FAOADFNE_00068	CDS	1278				hypothetical protein
FAOADFNE_00069	gene	927	livH			
FAOADFNE_00069	CDS	927	livH		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
FAOADFNE_00070	gene	1104	livK			
FAOADFNE_00070	CDS	1104	livK		COG0683	Leucine-specific-binding protein
FAOADFNE_00071	gene	384	panM			
FAOADFNE_00071	CDS	384	panM			PanD regulatory factor
FAOADFNE_00072	gene	519				
FAOADFNE_00072	CDS	519				hypothetical protein
FAOADFNE_00073	gene	270				
FAOADFNE_00073	CDS	270				hypothetical protein
FAOADFNE_00074	gene	1098	livJ			
FAOADFNE_00074	CDS	1098	livJ		COG0683	Leu/Ile/Val/Thr-binding protein
FAOADFNE_00075	gene	855	rpoH			
FAOADFNE_00075	CDS	855	rpoH		COG0568	RNA polymerase sigma factor RpoH
FAOADFNE_00076	gene	1056	ftsX			
FAOADFNE_00076	CDS	1056	ftsX		COG2177	Cell division protein FtsX
FAOADFNE_00077	gene	669	ftsE			
FAOADFNE_00077	CDS	669	ftsE		COG2884	Cell division ATP-binding protein FtsE
FAOADFNE_00078	gene	1476	ftsY			
FAOADFNE_00078	CDS	1476	ftsY		COG0552	Signal recognition particle receptor FtsY
FAOADFNE_00079	gene	597	rsmD			
FAOADFNE_00079	CDS	597	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
FAOADFNE_00080	gene	270				
FAOADFNE_00080	CDS	270				hypothetical protein
FAOADFNE_00081	gene	372				
FAOADFNE_00081	CDS	372				hypothetical protein
FAOADFNE_00082	gene	627				
FAOADFNE_00082	CDS	627				hypothetical protein
FAOADFNE_00083	gene	2199	zntA			
FAOADFNE_00083	CDS	2199	zntA	3.6.3.3		Zinc/cadmium/lead-transporting P-type ATPase
FAOADFNE_00084	gene	1644	tsr_1			
FAOADFNE_00084	CDS	1644	tsr_1		COG0840	Methyl-accepting chemotaxis protein I
FAOADFNE_00085	gene	336	tusA			
FAOADFNE_00085	CDS	336	tusA			Sulfur carrier protein TusA
FAOADFNE_00086	gene	666	yhhQ			
FAOADFNE_00086	CDS	666	yhhQ		COG1738	Queuosine precursor transporter
FAOADFNE_00087	gene	558				
FAOADFNE_00087	CDS	558				hypothetical protein
FAOADFNE_00088	gene	1260	yhhS			
FAOADFNE_00088	CDS	1260	yhhS			putative MFS-type transporter YhhS
FAOADFNE_00089	gene	1050	yhhT			
FAOADFNE_00089	CDS	1050	yhhT		COG0628	Putative transport protein YhhT
FAOADFNE_00090	gene	579				
FAOADFNE_00090	CDS	579				hypothetical protein
FAOADFNE_00091	gene	438	nikR			
FAOADFNE_00091	CDS	438	nikR		COG0864	Nickel-responsive regulator
FAOADFNE_00092	gene	1125	yhhJ			
FAOADFNE_00092	CDS	1125	yhhJ		COG0842	Inner membrane transport permease YhhJ
FAOADFNE_00093	gene	2742	rbbA			
FAOADFNE_00093	CDS	2742	rbbA		COG0842	Ribosome-associated ATPase
FAOADFNE_00094	gene	1008				
FAOADFNE_00094	CDS	1008				hypothetical protein
FAOADFNE_00095	gene	1197				
FAOADFNE_00095	CDS	1197			COG2081	putative protein
FAOADFNE_00096	gene	1497	pitA			
FAOADFNE_00096	CDS	1497	pitA		COG0306	Low-affinity inorganic phosphate transporter 1
FAOADFNE_00097	gene	336	uspB			
FAOADFNE_00097	CDS	336	uspB			Universal stress protein B
FAOADFNE_00098	gene	435	uspA			
FAOADFNE_00098	CDS	435	uspA		COG0589	Universal stress protein A
FAOADFNE_00099	gene	1473	dtpB			
FAOADFNE_00099	CDS	1473	dtpB		COG3104	Dipeptide and tripeptide permease B
FAOADFNE_00100	gene	759	rsmJ			
FAOADFNE_00100	CDS	759	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
FAOADFNE_00101	gene	2043	prlC			
FAOADFNE_00101	CDS	2043	prlC	3.4.24.70	COG0339	Oligopeptidase A
FAOADFNE_00102	gene	1272				
FAOADFNE_00102	CDS	1272				hypothetical protein
FAOADFNE_00103	gene	843	rlmJ			
FAOADFNE_00103	CDS	843	rlmJ	2.1.1.266	COG2961	Ribosomal RNA large subunit methyltransferase J
FAOADFNE_00104	gene	1353	gor			
FAOADFNE_00104	CDS	1353	gor	1.8.1.7	COG1249	Glutathione reductase
FAOADFNE_00105	gene	1236	csbX			
FAOADFNE_00105	CDS	1236	csbX		COG0477	Alpha-ketoglutarate permease
FAOADFNE_00106	gene	954	apsI			
FAOADFNE_00106	CDS	954	apsI	5.3.1.-	COG4952	D-apiose isomerase
FAOADFNE_00107	gene	882	murR_1			
FAOADFNE_00107	CDS	882	murR_1			HTH-type transcriptional regulator MurR
FAOADFNE_00108	gene	921	rbsK_1			
FAOADFNE_00108	CDS	921	rbsK_1	2.7.1.15	COG0524	Ribokinase
FAOADFNE_00109	gene	1044	ansB_1			
FAOADFNE_00109	CDS	1044	ansB_1	3.5.1.1		L-asparaginase
FAOADFNE_00110	gene	1320	dcuA_1			
FAOADFNE_00110	CDS	1320	dcuA_1		COG2704	Anaerobic C4-dicarboxylate transporter DcuA
FAOADFNE_00111	gene	846	frlD			
FAOADFNE_00111	CDS	846	frlD	2.7.1.-	COG0524	Fructosamine kinase FrlD
FAOADFNE_00112	gene	978	frlB_1			
FAOADFNE_00112	CDS	978	frlB_1	3.5.-.-	COG2222	Fructosamine deglycase FrlB
FAOADFNE_00113	gene	720	nagR_1			
FAOADFNE_00113	CDS	720	nagR_1		COG2188	HTH-type transcriptional repressor NagR
FAOADFNE_00114	gene	1650	treF			
FAOADFNE_00114	CDS	1650	treF	3.2.1.28	COG1626	Cytoplasmic trehalase
FAOADFNE_00115	gene	1590				
FAOADFNE_00115	CDS	1590				hypothetical protein
FAOADFNE_00116	gene	357				
FAOADFNE_00116	CDS	357				hypothetical protein
FAOADFNE_00117	gene	603	yhjB			
FAOADFNE_00117	CDS	603	yhjB			Putative HTH-type transcriptional regulator YhjB
FAOADFNE_00118	gene	684				
FAOADFNE_00118	CDS	684				hypothetical protein
FAOADFNE_00119	gene	1029	yhjD			
FAOADFNE_00119	CDS	1029	yhjD		COG1295	Inner membrane protein YhjD
FAOADFNE_00120	gene	1323	yhjE			
FAOADFNE_00120	CDS	1323	yhjE			Inner membrane metabolite transport protein YhjE
FAOADFNE_00121	gene	2061				
FAOADFNE_00121	CDS	2061				hypothetical protein
FAOADFNE_00122	gene	768	pdeH			
FAOADFNE_00122	CDS	768	pdeH	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeH
FAOADFNE_00123	gene	930	kdgK			
FAOADFNE_00123	CDS	930	kdgK	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
FAOADFNE_00124	gene	1488	yhjJ			
FAOADFNE_00124	CDS	1488	yhjJ		COG0612	Protein YhjJ
FAOADFNE_00125	gene	1287	dctA			
FAOADFNE_00125	CDS	1287	dctA		COG1301	Aerobic C4-dicarboxylate transport protein
FAOADFNE_00126	gene	2007	pdeK			
FAOADFNE_00126	CDS	2007	pdeK	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeK
FAOADFNE_00127	gene	3543	bcsC			
FAOADFNE_00127	CDS	3543	bcsC		COG0457	Cellulose synthase operon protein C
FAOADFNE_00128	gene	1110	bcsZ			
FAOADFNE_00128	CDS	1110	bcsZ	3.2.1.4	COG3405	Endoglucanase
FAOADFNE_00129	gene	2280	bcsB			
FAOADFNE_00129	CDS	2280	bcsB			Cyclic di-GMP-binding protein
FAOADFNE_00130	gene	2625	bcsA			
FAOADFNE_00130	CDS	2625	bcsA	2.4.1.12	COG1215	Cellulose synthase catalytic subunit [UDP-forming]
FAOADFNE_00131	gene	753	bcsQ			
FAOADFNE_00131	CDS	753	bcsQ			Cellulose biosynthesis protein BcsQ
FAOADFNE_00132	gene	204	yhjR			
FAOADFNE_00132	CDS	204	yhjR			Protein YhjR
FAOADFNE_00133	gene	1560	bcsE			
FAOADFNE_00133	CDS	1560	bcsE			Cyclic di-GMP binding protein BcsE
FAOADFNE_00134	gene	192				
FAOADFNE_00134	CDS	192				hypothetical protein
FAOADFNE_00135	gene	1680	bcsG			
FAOADFNE_00135	CDS	1680	bcsG			Cellulose biosynthesis protein BcsG
FAOADFNE_00136	gene	108	ldrD			
FAOADFNE_00136	CDS	108	ldrD			Small toxic polypeptide LdrD
FAOADFNE_00137	gene	1299	yhjV			
FAOADFNE_00137	CDS	1299	yhjV		COG0814	Inner membrane transport protein YhjV
FAOADFNE_00138	gene	1014	oppF_1			
FAOADFNE_00138	CDS	1014	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
FAOADFNE_00139	gene	984	dppD			
FAOADFNE_00139	CDS	984	dppD		COG0444	Dipeptide transport ATP-binding protein DppD
FAOADFNE_00140	gene	903	dppC_1			
FAOADFNE_00140	CDS	903	dppC_1		COG1173	Dipeptide transport system permease protein DppC
FAOADFNE_00141	gene	1020	dppB_1			
FAOADFNE_00141	CDS	1020	dppB_1		COG0601	Dipeptide transport system permease protein DppB
FAOADFNE_00142	gene	1608	dppA			
FAOADFNE_00142	CDS	1608	dppA		COG0747	Periplasmic dipeptide transport protein
FAOADFNE_00143	gene	1326	pucK			
FAOADFNE_00143	CDS	1326	pucK		COG2233	Uric acid permease PucK
FAOADFNE_00144	gene	1125				
FAOADFNE_00144	CDS	1125				hypothetical protein
FAOADFNE_00145	gene	1008	malR			
FAOADFNE_00145	CDS	1008	malR		COG1609	HTH-type transcriptional regulator MalR
FAOADFNE_00146	gene	77				
FAOADFNE_00146	tRNA	77				tRNA-Pro(cgg)
FAOADFNE_00147	gene	1692	eptB			
FAOADFNE_00147	CDS	1692	eptB	2.7.8.42	COG2194	Kdo(2)-lipid A phosphoethanolamine 7''-transferase
FAOADFNE_00148	gene	528	lpfE			
FAOADFNE_00148	CDS	528	lpfE			putative fimbrial subunit LpfE
FAOADFNE_00149	gene	1080	lpfD_1			
FAOADFNE_00149	CDS	1080	lpfD_1			putative minor fimbrial subunit LpfD
FAOADFNE_00150	gene	2529	elfC_1			
FAOADFNE_00150	CDS	2529	elfC_1		COG3188	putative outer membrane usher protein ElfC
FAOADFNE_00151	gene	699	lpfB_1			
FAOADFNE_00151	CDS	699	lpfB_1			putative fimbrial chaperone LpfB
FAOADFNE_00152	gene	525	lpfA			
FAOADFNE_00152	CDS	525	lpfA			putative major fimbrial subunit LpfA
FAOADFNE_00153	gene	189				
FAOADFNE_00153	CDS	189				hypothetical protein
FAOADFNE_00154	gene	705				
FAOADFNE_00154	CDS	705				hypothetical protein
FAOADFNE_00155	gene	582	tag			
FAOADFNE_00155	CDS	582	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
FAOADFNE_00156	gene	441	yiaC			
FAOADFNE_00156	CDS	441	yiaC	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YiaC
FAOADFNE_00157	gene	2334	bisC			
FAOADFNE_00157	CDS	2334	bisC	1.-.-.-	COG0243	Biotin sulfoxide reductase
FAOADFNE_00158	gene	663	yiaD			
FAOADFNE_00158	CDS	663	yiaD		COG2885	putative lipoprotein YiaD
FAOADFNE_00159	gene	975	ghrB			
FAOADFNE_00159	CDS	975	ghrB	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
FAOADFNE_00160	gene	711				
FAOADFNE_00160	CDS	711				hypothetical protein
FAOADFNE_00161	gene	333				
FAOADFNE_00161	CDS	333				hypothetical protein
FAOADFNE_00162	gene	213	cspA			
FAOADFNE_00162	CDS	213	cspA		COG1278	Cold shock protein CspA
FAOADFNE_00163	gene	540				
FAOADFNE_00163	CDS	540				hypothetical protein
FAOADFNE_00164	gene	402				
FAOADFNE_00164	CDS	402				IS3 family transposase ISSen1
FAOADFNE_00165	gene	684				
FAOADFNE_00165	CDS	684				IS3 family transposase ISSen1
FAOADFNE_00166	gene	486				
FAOADFNE_00166	CDS	486				hypothetical protein
FAOADFNE_00167	gene	267				
FAOADFNE_00167	CDS	267				hypothetical protein
FAOADFNE_00168	gene	468	yafP			
FAOADFNE_00168	CDS	468	yafP	2.3.1.-	COG0454	putative N-acetyltransferase YafP
FAOADFNE_00169	gene	2070	glyS			
FAOADFNE_00169	CDS	2070	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
FAOADFNE_00170	gene	912	glyQ			
FAOADFNE_00170	CDS	912	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
FAOADFNE_00171	gene	303				
FAOADFNE_00171	CDS	303				hypothetical protein
FAOADFNE_00172	gene	996	wecH			
FAOADFNE_00172	CDS	996	wecH	2.3.1.-	COG3274	O-acetyltransferase WecH
FAOADFNE_00173	gene	354				
FAOADFNE_00173	CDS	354				hypothetical protein
FAOADFNE_00174	gene	1455	xylB_1			
FAOADFNE_00174	CDS	1455	xylB_1	2.7.1.17	COG1070	Xylulose kinase
FAOADFNE_00175	gene	1323	xylA			
FAOADFNE_00175	CDS	1323	xylA	5.3.1.5		Xylose isomerase
FAOADFNE_00176	gene	1179	xylR			
FAOADFNE_00176	CDS	1179	xylR			Xylose operon regulatory protein
FAOADFNE_00177	gene	825				
FAOADFNE_00177	CDS	825				hypothetical protein
FAOADFNE_00178	gene	246				
FAOADFNE_00178	CDS	246				hypothetical protein
FAOADFNE_00179	gene	687	sgbH			
FAOADFNE_00179	CDS	687	sgbH	4.1.1.85	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase SgbH
FAOADFNE_00180	gene	861	ulaE_1			
FAOADFNE_00180	CDS	861	ulaE_1	5.1.3.22	COG3623	L-ribulose-5-phosphate 3-epimerase UlaE
FAOADFNE_00181	gene	528	sgbE_1			
FAOADFNE_00181	CDS	528	sgbE_1	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase SgbE
FAOADFNE_00182	gene	111	sgbE_2			
FAOADFNE_00182	CDS	111	sgbE_2	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase SgbE
FAOADFNE_00183	gene	816	rhaR_1			
FAOADFNE_00183	CDS	816	rhaR_1			HTH-type transcriptional activator RhaR
FAOADFNE_00184	gene	249	hypBA1_1			
FAOADFNE_00184	CDS	249	hypBA1_1	3.2.1.185		Non-reducing end beta-L-arabinofuranosidase
FAOADFNE_00185	gene	1647	hypBA1_2			
FAOADFNE_00185	CDS	1647	hypBA1_2	3.2.1.185		Non-reducing end beta-L-arabinofuranosidase
FAOADFNE_00186	gene	1539	aldB			
FAOADFNE_00186	CDS	1539	aldB	1.2.1.-	COG1012	Aldehyde dehydrogenase B
FAOADFNE_00187	gene	882	bglK			
FAOADFNE_00187	CDS	882	bglK	2.7.1.85	COG1940	Beta-glucoside kinase
FAOADFNE_00188	gene	1851	selB			
FAOADFNE_00188	CDS	1851	selB		COG3276	Selenocysteine-specific elongation factor
FAOADFNE_00189	gene	1392	selA			
FAOADFNE_00189	CDS	1392	selA	2.9.1.1	COG1921	L-seryl-tRNA(Sec) selenium transferase
FAOADFNE_00190	gene	609	yibF			
FAOADFNE_00190	CDS	609	yibF		COG0625	putative GST-like protein YibF
FAOADFNE_00191	gene	1917	mtlA			
FAOADFNE_00191	CDS	1917	mtlA		COG2213	PTS system mannitol-specific EIICBA component
FAOADFNE_00192	gene	1149	mtlD			
FAOADFNE_00192	CDS	1149	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
FAOADFNE_00193	gene	591	mtlR			
FAOADFNE_00193	CDS	591	mtlR		COG3722	Mannitol operon repressor
FAOADFNE_00194	gene	210				
FAOADFNE_00194	CDS	210				hypothetical protein
FAOADFNE_00195	gene	363	yibL			
FAOADFNE_00195	CDS	363	yibL			putative protein YibL
FAOADFNE_00196	gene	684	sadB			
FAOADFNE_00196	CDS	684	sadB			Inner membrane lipoprotein SadB
FAOADFNE_00197	gene	4347	sadA			
FAOADFNE_00197	CDS	4347	sadA		COG5295	Autotransporter adhesin SadA
FAOADFNE_00198	gene	1656	lldP			
FAOADFNE_00198	CDS	1656	lldP		COG1620	L-lactate permease
FAOADFNE_00199	gene	777	lldR_1			
FAOADFNE_00199	CDS	777	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
FAOADFNE_00200	gene	1191	lldD			
FAOADFNE_00200	CDS	1191	lldD	1.1.-.-	COG1304	L-lactate dehydrogenase
FAOADFNE_00201	gene	474	trmL_1			
FAOADFNE_00201	CDS	474	trmL_1	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
FAOADFNE_00202	gene	1005	gntR_2			
FAOADFNE_00202	CDS	1005	gntR_2			HTH-type transcriptional regulator GntR
FAOADFNE_00203	gene	1197				
FAOADFNE_00203	CDS	1197		4.2.1.156	COG4948	L-talarate/galactarate dehydratase
FAOADFNE_00204	gene	1311	gudP_1			
FAOADFNE_00204	CDS	1311	gudP_1			putative glucarate transporter
FAOADFNE_00205	gene	822	cysE_1			
FAOADFNE_00205	CDS	822	cysE_1	2.3.1.30	COG1045	Serine acetyltransferase
FAOADFNE_00206	gene	1020	gpsA			
FAOADFNE_00206	CDS	1020	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
FAOADFNE_00207	gene	468	secB			
FAOADFNE_00207	CDS	468	secB		COG1952	Protein-export protein SecB
FAOADFNE_00208	gene	252	grxC			
FAOADFNE_00208	CDS	252	grxC		COG0695	Glutaredoxin 3
FAOADFNE_00209	gene	432	yibN			
FAOADFNE_00209	CDS	432	yibN		COG0607	putative protein YibN
FAOADFNE_00210	gene	1545	gpmI			
FAOADFNE_00210	CDS	1545	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
FAOADFNE_00211	gene	1284	envC			
FAOADFNE_00211	CDS	1284	envC		COG4942	Murein hydrolase activator EnvC
FAOADFNE_00212	gene	963				
FAOADFNE_00212	CDS	963				hypothetical protein
FAOADFNE_00213	gene	1041	epsJ			
FAOADFNE_00213	CDS	1041	epsJ	2.4.-.-	COG0463	putative glycosyltransferase EpsJ
FAOADFNE_00214	gene	1026	tdh			
FAOADFNE_00214	CDS	1026	tdh	1.1.1.103	COG1063	L-threonine 3-dehydrogenase
FAOADFNE_00215	gene	1197	kbl			
FAOADFNE_00215	CDS	1197	kbl	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
FAOADFNE_00216	gene	933	hldD			
FAOADFNE_00216	CDS	933	hldD	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
FAOADFNE_00217	gene	1047	rfaF			
FAOADFNE_00217	CDS	1047	rfaF	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
FAOADFNE_00218	gene	954	rfaC			
FAOADFNE_00218	CDS	954	rfaC	2.-.-.-	COG0859	Lipopolysaccharide heptosyltransferase 1
